movie_id,imdb_id,tmdb_id,rating,average_rating,title
2404,0095956,1370,3.5,2.50784,Rambo III (1988)
2409,0079817,1367,4.0,3.21422,Rocky II (1979)
2410,0084602,1371,3.5,2.99119,Rocky III (1982)
2411,0089927,1374,3.5,2.92023,Rocky IV (1985)
2414,0090357,11904,4.0,3.36797,Young Sherlock Holmes (1985)
2421,0091326,8856,4.0,2.68525,The Karate Kid Part II (1986)
2424,0128853,9489,4.0,3.21059,You've Got Mail (1998)
2431,0129290,10312,3.5,3.18701,Patch Adams (1998)
2459,0072271,30497,4.0,3.33267,The Texas Chain Saw Massacre (1974)
2467,0091605,192,3.5,3.86672,The Name of the Rose (1986)
2490,0120784,2112,3.5,3.4121,Payback (1999)
2505,0134273,8224,3.0,2.9874,8MM (1999)
2513,0098084,8913,4.0,3.04772,Pet Sematary (1989)
2528,0074812,10803,3.0,3.42898,Logan's Run (1976)
2529,0063442,871,3.0,3.60835,Planet of the Apes (1968)
2541,0139134,796,4.0,3.29846,Cruel Intentions (1999)
2571,0133093,603,4.0,4.15998,The Matrix (1999)
2572,0147800,4951,5.0,3.55338,10 Things I Hate About You (1999)
2581,0151738,11355,3.0,3.0635,Never Been Kissed (1999)
2587,0123964,6522,4.0,2.99081,Life (1999)
2605,0137494,1844,3.0,3.16989,Entrapment (1999)
2617,0120616,564,4.0,3.21746,The Mummy (1999)
2628,0120915,1893,4.5,3.07592,Star Wars: Episode I - The Phantom Menace (1999)
2640,0078346,1924,3.0,3.38317,Superman (1978)
2641,0081573,8536,3.0,3.1001,Superman II (1980)
2643,0094074,11411,3.0,2.07383,Superman IV: The Quest for Peace (1987)
2683,0145660,817,4.0,3.19133,Austin Powers: The Spy Who Shagged Me (1999)
2687,0120855,37135,3.0,3.48324,Tarzan (1999)
2688,0144214,2275,3.5,3.08892,The General's Daughter (1999)
2692,0130827,104,3.5,3.96183,Run Lola Run (1998)
2694,0142342,9032,3.0,3.11287,Big Daddy (1999)
2700,0158983,9473,5.0,3.61275,"South Park: Bigger, Longer & Uncut (1999)"
2701,0120891,8487,3.0,2.3364,Wild Wild West (1999)
2706,0163651,2105,4.0,3.28214,American Pie (1999)
2710,0185937,2667,2.5,2.91047,The Blair Witch Project (1999)
2716,0087332,620,3.0,3.75564,Ghostbusters (1984)
2717,0097428,2978,3.0,3.04403,Ghostbusters II (1989)
2722,0149261,8914,4.0,2.70126,Deep Blue Sea (1999)
2724,0163187,4806,2.5,2.88018,Runaway Bride (1999)
2735,0091129,10136,4.0,2.90376,The Golden Child (1986)
2761,0129167,10386,3.5,3.86424,The Iron Giant (1999)
2762,0167404,745,4.5,4.00727,The Sixth Sense (1999)
2791,0080339,813,3.5,3.79476,Airplane! (1980)
2808,0105698,9349,3.5,2.61753,Universal Soldier (1992)
2826,0120657,1911,4.0,3.13491,The 13th Warrior (1999)
2828,0160236,17709,2.0,1.99816,Dudley Do-Right (1999)
2840,0145531,10307,3.5,3.03205,Stigmata (1999)
2858,0169547,14,4.0,4.10485,American Beauty (1999)
2860,0181316,11001,3.5,3.10726,Blue Streak (1999)
2867,0089175,11797,3.0,3.36939,Fright Night (1985)
2872,0082348,11527,4.0,3.55653,Excalibur (1981)
2890,0120188,6415,3.0,3.57318,Three Kings (1999)
2905,0056443,11712,5.0,4.09035,Sanjuro (1962)
2916,0100802,861,4.0,3.62507,Total Recall (1990)
2918,0091042,9377,3.5,3.91002,Ferris Bueller's Day Off (1986)
2942,0085549,535,2.5,2.99267,Flashdance (1983)
2947,0058150,658,3.5,3.72819,Goldfinger (1964)
2948,0057076,657,3.5,3.68644,From Russia with Love (1963)
2949,0055928,646,3.5,3.66426,Dr. No (1962)
2950,0080453,5689,3.0,2.59149,The Blue Lagoon (1980)
2951,0058461,391,4.5,3.9406,A Fistful of Dollars (1964)
2953,0104431,772,3.0,2.7258,Home Alone 2: Lost in New York (1992)
2959,0137523,550,3.5,4.23436,Fight Club (1999)
2985,0093870,5548,3.5,3.37341,RoboCop (1987)
2986,0100502,5549,3.5,2.50609,RoboCop 2 (1990)
2993,0059800,660,3.5,3.59791,Thunderball (1965)
2997,0120601,492,3.0,3.93345,Being John Malkovich (1999)
3000,0119698,128,4.5,4.16044,Princess Mononoke (1997)
3005,0145681,9481,4.0,3.3223,The Bone Collector (1999)
3030,0055630,11878,5.0,4.17235,Yojimbo (1961)
3034,0070608,11886,3.0,3.6905,Robin Hood (1973)
3039,0086465,1621,2.0,3.73382,Trading Places (1983)
3074,0068762,11943,4.0,3.76409,Jeremiah Johnson (1972)
3081,0162661,2668,3.5,3.52361,Sleepy Hollow (1999)
3082,0143145,36643,3.0,3.19842,The World Is Not Enough (1999)
3098,0087781,11393,3.5,3.78663,The Natural (1984)
3113,0146675,9946,3.0,2.69114,End of Days (1999)
3114,0120363,863,4.0,3.80896,Toy Story 2 (1999)
3146,0205000,10402,3.5,2.61779,Deuce Bigalow: Male Gigolo (1999)
3147,0120689,497,4.5,4.04183,The Green Mile (1999)
3156,0182789,2277,4.0,3.17098,Bicentennial Man (1999)
3175,0177789,926,4.0,3.59933,Galaxy Quest (1999)
3176,0134119,1213,3.0,3.51799,The Talented Mr. Ripley (1999)
3208,0107659,9644,3.0,2.80149,National Lampoon's Loaded Weapon 1 (1993)
3247,0105417,2005,2.5,3.02175,Sister Act (1992)
3248,0108147,6279,2.5,2.62643,Sister Act 2: Back in the Habit (1993)
3250,0106246,7305,3.5,3.43241,Alive (1993)
3253,0105793,8872,4.0,3.4576,Wayne's World (1992)
3254,0108525,8873,3.5,2.95153,Wayne's World 2 (1993)
3255,0104694,11287,3.5,3.51299,A League of Their Own (1992)
3257,0103855,619,3.0,2.82121,The Bodyguard (1992)
3258,0104070,9374,3.5,2.98829,Death Becomes Her (1992)
3267,0104815,9367,4.0,3.60204,El Mariachi (1992)
3271,0105046,9609,4.0,3.67505,Of Mice and Men (1992)
3273,0134084,4234,3.5,2.44305,Scream 3 (2000)
3285,0163978,1907,3.5,3.10503,The Beach (2000)
3287,0220099,15655,3.5,2.92832,The Tigger Movie (2000)
3300,0134847,2787,4.0,3.46641,Pitch Black (2000)
3354,0183523,2067,3.0,2.69002,Mission to Mars (2000)
3355,0142688,622,3.0,3.24935,The Ninth Gate (1999)
3387,0098645,11718,3.0,2.732,Who's Harry Crumb? (1989)
3388,0093148,8989,2.0,2.70516,Harry and the Hendersons (1987)
3392,0098309,11157,2.5,2.23834,She-Devil (1989)
3418,0103074,1541,3.5,3.59478,Thelma & Louise (1991)
3432,0089003,24873,4.0,2.3256,Death Wish 3 (1985)
3444,0092675,11690,3.5,3.22127,Bloodsport (1988)
3452,0165929,2085,3.0,3.01528,Romeo Must Die (2000)
3462,0027977,3082,4.0,4.08805,Modern Times (1936)
3478,0093378,16620,3.0,3.2511,La Bamba (1987)
3483,0138749,10501,3.0,3.36798,The Road to El Dorado (2000)
3489,0102057,879,3.5,3.24054,Hook (1991)
3499,0100157,1700,4.5,3.77012,Misery (1990)
3510,0186151,10559,4.0,3.54907,Frequency (2000)
3527,0093773,106,4.0,3.66763,Predator (1987)
3535,0144084,1359,3.5,3.66834,American Psycho (2000)
3555,0141926,3536,2.5,3.34831,U-571 (2000)
3578,0172495,98,4.0,3.96663,Gladiator (2000)
3608,0089791,5683,3.0,3.24282,Pee-wee's Big Adventure (1985)
3623,0120755,955,2.5,2.98023,Mission: Impossible II (2000)
3624,0184894,8584,4.0,3.24981,Shanghai Noon (2000)
3646,0208003,9600,3.0,2.3649,Big Momma's House (2000)
3654,0054953,10911,3.0,3.80762,The Guns of Navarone (1961)
3671,0071230,11072,2.5,3.85423,Blazing Saddles (1974)
3681,0059578,938,4.5,3.99986,For a Few Dollars More (1965)
3697,0100403,169,3.5,2.90393,Predator 2 (1990)
3698,0093894,865,3.5,3.24799,The Running Man (1987)
3702,0079501,9659,4.5,3.51696,Mad Max (1979)
3703,0082694,8810,4.0,3.65403,Mad Max 2 (1981)
3704,0089530,9355,4.0,3.13193,Mad Max Beyond Thunderdome (1985)
3717,0187078,9679,3.0,3.09799,Gone in Sixty Seconds (2000)
3726,0074156,17814,3.5,3.52516,Assault on Precinct 13 (1976)
3740,0090728,6978,4.5,3.51282,Big Trouble in Little China (1986)
3744,0162650,479,3.5,2.95556,Shaft (2000)
3751,0120630,7443,2.5,3.47166,Chicken Run (2000)
3753,0187393,2024,4.5,3.45823,The Patriot (2000)
3785,0175142,4247,4.5,2.73234,Scary Movie (2000)
3793,0120903,36657,3.0,3.53626,X-Men (2000)
3811,0080310,13783,1.5,4.01392,Breaker Morant (1980)
3819,0092048,11830,4.5,4.07062,Tampopo (1985)
3821,0144528,12107,2.5,2.20206,Nutty Professor II: The Klumps (2000)
3826,0164052,9383,3.0,2.55553,Hollow Man (2000)
3836,0065938,11589,2.5,3.78022,Kelly's Heroes (1970)
3863,0209958,8843,3.0,3.0316,The Cell (2000)
